time,               No.,g, B0,   b0,     x,   y,   d,  d*sin(B0),w0,  w1,    w2,   W
2020-02-17-23-47-02,0,5,1.63,93,-0.1,1.2,1.2,5.56,298.5,296.9,300.9,896
2020-02-17-23-47-19,1,3,1.85,105,-0.2,0.7,0.7,3.2,298.1,298,300.3,896
2020-02-17-23-47-27,2,4,1.99,114,-0.4,0.8,0.9,3.79,297.2,297.7,300.4,980
2020-02-17-23-47-35,3,5,2.39,136,-1,0.9,1.3,4.08,295.8,299,302,896
2020-02-17-23-47-41,4,1,3.59,205,-0.4,-0.2,0.4,-0.77,297.3,299.3,298.8,895
2020-02-17-23-47-49,5,1,1.93,110,-0.1,0.3,0.4,1.51,298.2,298.3,299.4,896
2020-02-17-23-47-56,6,3,1.54,88,0,0.7,0.7,3.29,298.8,297.5,299.9,896
2020-02-18-11-58-33,1,0,2.38,136,-0.1,0.1,0.1,0.27,298.5,298.8,299,896
2020-02-18-11-58-47,2,1,1.84,105,-0.1,0.3,0.3,1.2,298.6,298.5,299.4,896
2020-02-18-11-59-25,3,3,2.45,140,-0.6,0.5,0.8,2.39,296.3,298.6,300.3,895
2020-02-18-11-59-33,4,5,2.18,124,-0.5,0.8,0.9,3.37,296.9,298.3,300.7,896
2020-02-18-11-59-47,5,2,2.45,140,-0.5,0.4,0.7,1.92,296.8,298.6,300,895
2020-02-18-12-00-01,6,3,2.31,132,-0.6,0.6,0.8,2.8,296.6,298.3,300.4,895
2020-02-18-12-00-25,7,3,2.12,121,-0.4,0.7,0.8,2.96,297.3,298.2,300.3,895
2020-02-18-12-00-40,8,3,2.12,121,-0.4,0.7,0.8,3.01,297.3,298.2,300.4,896
2020-02-29-11-27-47,0,2,1.74,100,-0.1,0.6,0,2.58,298,297,300,896
2020-02-29-11-27-56,1,2,1.5,86,0,0.5,1,2.09,298,297,300,896
2020-02-29-11-28-07,2,0,1.52,87,0,0.1,0,0.4,298,298,298,896
2020-02-29-11-49-18,0,3,4.42,253,-0.2,-0.7,0,-3.01,298,298,299,896
2020-02-29-11-49-25,1,1,2.3,132,-0.2,0.2,1,0.97,298,299,299,896
2020-02-29-20-57-12,1,4,1.96,112,-0.4,0.9,0,3.85,297,298,300,896
2020-02-29-20-58-46,2,1,1.77,101,-0.1,0.3,0,1.47,298,298,299,896
2020-02-29-20-59-00,3,14,4.64,266,-0.2,-3.2,0,-14.56,298,298,300,896
2020-02-29-20-59-09,4,11,4.92,282,0.5,-2.4,0,-11.04,305,307,297,910
2020-02-29-20-59-26,5,11,4.83,277,0.3,-2.5,0,-11.21,304,309,297,911
2020-02-29-20-59-47,6,6,3.26,187,-1.5,-0.2,0,-0.84,298,311,300,911
2020-02-29-21-00-04,7,9,2.98,171,-2,0.3,0,1.46,297,313,301,912
2020-02-29-21-00-13,8,8,5.7,327,1.6,-1,0,-4.7,307,297,301,905
2020-02-29-21-02-24,9,17,5.05,289,1.2,-3.6,0,-16.12,305,298,300,905
2020-02-29-21-02-32,10,8,1.7,97,-0.2,1.9,1,8.6,300,297,306,905
2020-02-29-21-02-45,11,8,1.56,89,0,1.8,0,8.24,301,296,307,905
2020-02-29-21-02-55,12,8,1.59,91,0,1.9,1,8.65,301,296,307,906
2020-02-29-21-03-02,13,3,2.36,135,-0.5,0.5,0,2.21,300,302,302,905
2020-02-29-21-03-11,14,1,3.43,197,-0.3,-0.1,0,-0.45,301,304,301,906
2020-02-29-21-03-20,15,2,2.65,152,-0.4,0.2,0,1.05,300,303,301,905
2020-02-29-21-03-27,16,3,5.11,293,0.3,-0.6,0,-2.92,303,302,300,906
2020-02-29-21-03-37,17,10,5.83,334,2.2,-1,0,-4.72,309,296,301,907
2020-02-29-21-03-56,18,13,5.65,324,2.4,-1.7,0,-7.94,310,295,301,907
2020-02-29-21-04-02,19,11,5.65,324,2.1,-1.5,0,-7,310,297,302,909
2020-02-29-21-04-15,20,8,5.32,305,1.1,-1.6,0,-7.26,307,302,300,909
2020-02-29-21-04-30,21,7,0.23,13,1.6,0.4,1,1.71,308,294,307,911
2020-02-29-21-04-39,22,36,4.9,281,1.5,-7.8,0,-35.45,308,296,305,910
2020-02-29-21-04-45,23,14,5.75,329,2.7,-1.6,1,-7.42,312,294,303,910
2020-02-29-21-05-07,24,46,4.01,230,-5.8,-6.9,0,-35.71,324,402,313,1040
2020-02-29-21-05-15,25,44,3.87,222,-6.4,-5.7,1,-29.71,324,403,318,1045
2020-02-29-21-05-21,26,122,2,114,-9.6,21.3,0,111.25,311,333,400,1044
2020-02-29-21-05-35,27,118,1.95,112,-8.4,21,1,109.97,316,327,402,1045
2020-02-29-21-05-42,28,73,6.23,357,13.9,-0.8,0,-4.13,402,272,373,1048
2020-02-29-21-05-53,29,76,6.17,354,14.4,-1.6,1,-8.46,404,272,372,1049
2020-02-29-21-06-02,30,81,6.06,347,15.2,-3.5,0,-18.18,405,272,365,1043
2020-02-29-21-06-08,31,81,5.98,343,14.8,-4.6,1,-24.3,405,272,370,1047
2020-02-29-21-06-14,32,66,0.08,5,12.7,1.1,0,5.62,398,273,377,1049
2020-02-29-21-06-20,33,69,0.04,2,13.3,0.5,1,2.81,400,271,376,1049
2020-02-29-21-06-28,34,67,0.1,6,12.8,1.3,0,7.07,398,271,378,1049
2020-02-29-21-06-34,35,61,0.04,2,11.7,0.5,1,2.43,394,273,381,1050
2020-02-29-21-06-40,36,58,0.39,22,10.4,4.2,0,22.11,389,274,385,1049
2020-02-29-21-06-46,37,62,0.93,53,7.2,9.6,1,50.36,377,276,395,1048
2020-02-29-21-06-53,38,88,1.6,92,-0.5,16.9,0,88.84,347,296,404,1048
2020-02-29-21-07-03,39,94,1.72,98,-2.6,17.8,1,93.06,339,301,406,1047
2020-02-29-21-07-26,42,74,2.49,143,-11.3,8.5,0,44.78,306,385,356,1048
2020-02-29-21-07-36,43,46,4.06,233,-5.4,-7.1,0,-37.27,328,403,315,1048
2020-02-29-21-07-46,44,123,4.93,283,5.1,-22.9,0,-120.27,369,396,283,1049
2020-02-29-21-07-54,45,162,5.1,292,11.6,-28.8,0,-151.05,394,378,276,1050
2020-02-29-21-08-05,46,166,5.26,301,16.8,-27.7,0,-142.29,405,338,284,1028
2020-02-29-21-08-15,47,133,5.44,312,17.4,-19.4,0,-99.14,405,306,310,1022
2020-02-29-21-08-23,48,104,5.71,327,17.1,-11.1,0,-57.1,405,281,337,1024
2020-02-29-21-08-32,49,89,5.9,338,16.1,-6.5,0,-33.6,405,274,353,1034
2020-02-29-21-08-39,50,83,5.94,340,14.9,-5.4,0,-28.12,405,272,367,1045
2020-02-29-21-08-44,51,64,0.15,9,12.2,1.9,1,9.86,396,273,379,1049
2020-02-29-21-08-57,52,79,6.07,348,14.8,-3.2,0,-16.61,405,274,366,1047
2020-02-29-21-09-05,53,76,6.14,352,14.5,-2.1,1,-11.15,404,273,370,1048
2020-02-29-21-09-30,54,77,6.13,351,14.7,-2.3,0,-12.12,405,273,369,1048
2020-02-29-21-12-37,55,40,5.44,312,5.8,-6.6,1,-30.46,328,298,299,927
2020-02-29-21-21-38,56,261,1.55,89,2.2,130.8,0,261.16,136,238,24,399
2020-02-29-21-23-52,1,0,1.8,103,0,0.2,0,0.74,298,298,299,895
2020-02-29-21-24-10,2,139,5.36,307,16.6,-21.8,0,-111,400,316,300,1017
2020-02-29-21-24-22,3,139,5.37,308,16.9,-21.7,0,-110.48,401,315,300,1016
2020-02-29-21-24-39,4,131,5.43,311,17,-19.5,0,-99.38,402,307,307,1017
2020-02-29-21-24-49,5,122,5.49,315,16.8,-17.1,0,-86.89,401,300,315,1017
2020-02-29-21-24-57,6,103,5.61,321,15.9,-12.7,0,-64.74,398,291,328,1018
2020-02-29-21-25-05,7,70,6.03,345,13.3,-3.5,0,-17.88,388,276,352,1017
2020-02-29-21-25-12,8,54,0.18,10,10.6,1.9,1,9.72,378,274,365,1018
2020-02-29-21-25-22,9,200,5.03,288,12.3,-37.3,0,-189.98,385,279,354,1019
2020-02-29-21-25-30,10,67,6.05,347,12.9,-3,0,-15.46,387,277,353,1018
2020-02-29-21-25-47,11,32,5.71,327,5.4,-3.5,0,-17.49,352,272,374,999
2020-02-29-21-25-54,12,161,5.34,306,18.8,-25.7,0,-130.67,408,317,291,1017
2020-02-29-21-26-04,13,164,5.25,301,16.4,-27.8,0,-141.36,399,336,280,1016
2020-02-29-21-26-10,14,163,5.15,295,13.7,-29.1,0,-148.04,389,356,270,1016
2020-02-29-21-26-22,15,430,4.82,276,8.9,-84.3,0,-428.48,371,375,268,1016
2020-02-29-21-26-29,16,106,4.78,274,1.5,-20.9,1,-106.46,344,397,274,1016
2020-02-29-21-26-38,17,86,2.78,159,-15.8,5.9,0,30.26,280,408,328,1017
2020-02-29-21-26-47,18,124,2.46,141,-19,15.5,1,79.06,268,394,354,1017
2020-02-29-21-26-53,19,144,3.96,227,-19.6,-20.8,0,-105.04,264,371,374,1010
2020-02-29-21-27-01,20,140,2.19,125,-16.2,23,1,114.4,272,347,374,995
2020-02-29-21-27-12,21,120,2.06,118,-11.4,21.6,0,106.38,286,321,374,983
2020-02-29-21-27-19,22,60,1.21,69,4.3,11.3,1,56.19,346,272,374,993
2020-02-29-21-27-31,23,54,0.33,19,10.1,3.4,0,17.51,375,272,367,1015
2020-02-29-21-27-44,24,70,6.11,350,13.5,-2.3,0,-11.95,389,271,357,1019
2020-02-29-21-27-50,25,89,5.81,333,15.7,-8,0,-40.81,397,276,343,1017
2020-02-29-21-28-00,26,59,0.14,8,11.7,1.6,1,8.07,383,269,366,1019
2020-02-29-21-28-19,27,55,0.63,36,8.8,6.4,0,32.4,370,268,374,1013
2020-02-29-21-28-52,28,3,2.09,120,-0.3,0.6,0,2.7,297,298,299,895
2020-02-29-21-36-07,1,1,2.72,156,-0.3,0.1,0,0.58,297,299,298,896
2020-02-29-21-36-25,2,0,2.5,143,-0.1,0.1,0,0.48,298,299,298,896
2020-03-02-18-20-57,1,1,5.03,288,0.1,-0.4,0,-1.89,298,299,297,895
2020-03-02-19-24-01,0,365,4.52,259,-12.4,-64.2,0,-359.18,322,531,265,1118
2020-03-02-19-24-06,1,512,2.78,159,-134.9,51.7,1,183.42,-112,697,124,709
2020-03-02-19-24-12,2,595,3.95,226,-417.3,-438.3,0,-430.97,-233,564,-134,196
2020-03-02-19-24-20,3,352,4.75,272,12.5,-336.3,1,-352.36,79,66,63,209
2020-03-02-19-24-24,4,-808,4.68,268,-10.4,-309.8,0,807.87,-154,-464,97,-521
2020-03-02-19-24-27,5,-693,4.31,247,-38.5,-91,1,638.55,-270,-1062,-70,-1403
2020-03-02-19-24-39,6,2430,3.46,198,-112,-36.6,0,-755.24,-308,4249,184,4126
2020-03-02-19-24-44,7,1084,3.73,213,-73.7,-48.8,1,-598.3,158,2224,70,2453
2020-03-02-19-24-50,8,996,3.81,218,-83.3,-66.1,0,-619.15,56,1660,157,1873
2020-03-02-19-24-55,9,1609,3.46,198,-121.6,-40.1,1,-504.42,-275,2091,698,2514
2020-03-02-19-25-01,10,1849,2.91,167,-190.6,45.6,0,430.01,-681,2324,245,1887
2020-03-02-19-25-05,11,2165,3.68,211,-75.4,-45.3,1,-1115.27,289,4249,386,4925
2020-03-03-10-03-22,0,192,2.82,162,-116.3,38.5,0,60.56,-28,142,199,314
2020-03-03-10-03-28,1,-776,5.01,287,244.7,-798.7,0,742.2,-227,-155,197,-185
2020-03-03-10-03-36,2,291,2.11,121,-58.3,98.5,1,250.9,61,214,233,509
2020-03-03-10-21-38,0,239,1.17,67,25.5,59.6,0,219.94,314,298,124,738
2020-03-03-10-21-42,1,272,2.91,166,-48,11.6,0,63.89,175,528,401,1105
2020-03-03-10-21-47,2,876,1.86,106,-73.6,250.1,0,840.8,43,137,490,672
2020-03-03-10-21-51,3,1569,2.23,128,-158.4,205.5,0,1242.86,-294,724,780,1209
2020-03-03-10-21-55,4,2071,1.61,92,-86.2,1987.1,1,2069.25,3,-402,606,208
2020-03-03-10-21-59,5,1298,2.42,139,-173.3,153.1,0,859.2,-334,712,744,1122
2020-03-03-10-31-20,0,162,4.67,268,-4.7,-120.4,0,-162.58,85,146,38,270
2020-03-03-10-31-23,1,2076,5.42,311,165.2,-191.2,0,-1571.23,1536,66,40,1643
2020-03-03-10-31-28,2,1081,5.59,320,223.5,-186.1,0,-692.49,853,-143,34,744
2020-03-03-10-31-33,3,5329,5.45,312,182.5,-200.2,0,-3938.44,3927,-81,88,3933
2020-03-03-10-34-28,0,29044,2.45,141,-92.6,76,0,18421.95,-202,30,48644,48472
2020-03-03-10-34-31,1,103865,2.42,138,-91.7,81.4,1,68949.29,-152,7,169479,169334
2020-03-03-10-34-37,2,186219,1.67,96,-91,926.9,0,185329.09,77,172,39740,39990
2020-03-03-10-34-41,3,64289,1.87,107,-90.8,294.1,0,61427.29,106,79,41592,41779
2020-03-03-10-34-45,4,75773,1.63,93,-81.4,1363.7,0,75639.12,408,287,10398,11093
2020-03-03-10-38-25,0,2627,5.21,298,123.8,-229.3,0,-2311.99,1581,1074,-639,2016
2020-03-03-10-38-36,1,1752,5.21,298,83.7,-155.1,0,-1541.74,1269,688,30,1988
2020-03-03-10-38-49,2,853,4.95,284,32,-130.7,0,-829.21,570,771,-73,1268
2020-03-03-10-38-53,3,885,5.17,296,71.3,-143.6,0,-792.73,654,499,-50,1103
2020-03-03-10-38-57,4,1117,5.27,302,152.7,-243.7,0,-947.19,691,139,-54,777
2020-03-03-10-39-01,5,652,5.11,293,52.3,-125.3,0,-602.38,503,427,30,961
2020-03-03-10-39-09,6,-439,2.67,153,-2719,1402.9,0,-201.74,275,-260,-43,-28
2020-03-03-10-39-12,7,636,5.48,314,314.8,-325,0,-457.03,416,124,-259,281
2020-03-03-10-39-22,8,-258,5.54,317,141.1,-129.9,0,174.97,-228,75,-116,-269
2020-03-03-11-01-54,0,5966,5.48,314,172,-179.9,0,-4312.78,4601,0,192,4794
2020-03-03-11-01-58,1,-13736,2.83,162,-342.8,109.1,1,-4165.45,6991,-664,-13963,-7636
2020-03-03-11-02-06,2,-14756,2.98,171,-194.3,31.1,0,-2331.78,5617,116,-20730,-14996
2020-03-03-11-02-10,3,13663,5.43,311,184.3,-211,1,-10289.98,9800,431,-478,9754
2020-03-05-10-34-45,4,75773,1.63,93,-81.4,1363.7,0,75639.12,408,287,10398,11093
2020-03-05-10-38-25,0,2627,5.21,298,123.8,-229.3,0,-2311.99,1581,1074,-639,2016
2020-03-05-10-38-36,1,1752,5.21,298,83.7,-155.1,0,-1541.74,1269,688,30,1988
2020-03-05-10-38-49,2,853,4.95,284,32,-130.7,0,-829.21,570,771,-73,1268
2020-03-05-10-38-53,3,885,5.17,296,71.3,-143.6,0,-792.73,654,499,-50,1103
2020-03-05-10-38-57,4,1117,5.27,302,152.7,-243.7,0,-947.19,691,139,-54,777
2020-03-05-10-39-01,5,652,5.11,293,52.3,-125.3,0,-602.38,503,427,30,961
2020-03-05-10-39-09,6,-439,2.67,153,-2719,1402.9,0,-201.74,275,-260,-43,-28
2020-03-05-10-39-12,7,636,5.48,314,314.8,-325,0,-457.03,416,124,-259,281
2020-03-05-10-39-22,8,-258,5.54,317,141.1,-129.9,0,174.97,-228,75,-116,-269
2020-03-05-11-01-54,0,5966,5.48,314,172,-179.9,0,-4312.78,4601,0,192,4794
2020-03-05-11-01-58,1,-13736,2.83,162,-342.8,109.1,1,-4165.45,6991,-664,-13963,-7636
2020-03-05-11-02-06,2,-14756,2.98,171,-194.3,31.1,0,-2331.78,5617,116,-20730,-14996
2020-03-05-11-02-10,3,13663,5.43,311,184.3,-211,1,-10289.98,9800,431,-478,9754
2020-03-06-10-38-57,4,1117,5.27,302,152.7,-243.7,0,-947.19,691,139,-54,777
2020-03-06-10-39-01,5,652,5.11,293,52.3,-125.3,0,-602.38,503,427,30,961
2020-03-06-10-39-09,6,-439,2.67,153,-2719,1402.9,0,-201.74,275,-260,-43,-28
2020-03-06-10-39-12,7,636,5.48,314,314.8,-325,0,-457.03,416,124,-259,281
2020-03-06-10-39-22,8,-258,5.54,317,141.1,-129.9,0,174.97,-228,75,-116,-269
2020-03-06-11-01-54,0,5966,5.48,314,172,-179.9,0,-4312.78,4601,0,192,4794
2020-03-06-11-01-58,1,-13736,2.83,162,-342.8,109.1,1,-4165.45,6991,-664,-13963,-7636
2020-03-06-11-02-06,2,-14756,2.98,171,-194.3,31.1,0,-2331.78,5617,116,-20730,-14996
2020-03-06-11-02-10,3,13663,5.43,311,184.3,-211,1,-10289.98,9800,431,-478,9754
2020-03-07-11-01-58,1,-13736,2.83,162,-342.8,109.1,1,-4165.45,6991,-664,-13963,-7636
2020-03-07-11-02-06,2,-14756,2.98,171,-194.3,31.1,0,-2331.78,5617,116,-20730,-14996
2020-03-16-11-01-58,0,0,2.83,162,-342.8,109.1,1,-4165.45,6991,-664,910,910
2020-03-16-11-02-06,7,7,2.98,171,-194.3,31.1,0,-2331.78,5617,116,910,870
